Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
KOS007	KOS007_utigKOS007	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS007_utigKOS007_L1_R1.fastq.gz	NA	NA	ERR13189827.fastq.gz	NA
KOS013	KOS013_utigKOS013	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS013_utigKOS013_L1_R1.fastq.gz	NA	NA	ERR13189833.fastq.gz	NA
KOS022	KOS022_utigKOS022	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS022_utigKOS022_L1_R1.fastq.gz	NA	NA	ERR13189839.fastq.gz	NA
KOS024	KOS024_utigKOS024	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS024_utigKOS024_L1_R1.fastq.gz	NA	NA	ERR13189840.fastq.gz	NA
KOS010	KOS010_utigKOS010	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS010_utigKOS010_L1_R1.fastq.gz	NA	NA	ERR13189830.fastq.gz	NA
KOS033	KOS033_utigKOS033	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS033_utigKOS033_L1_R1.fastq.gz	NA	NA	ERR13189845.fastq.gz	NA
KOS036	KOS036_utigKOS036	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS036_utigKOS036_L1_R1.fastq.gz	NA	NA	ERR13189848.fastq.gz	NA
WPK006	WPK006_utigWPK006	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/WPK006_utigWPK006_L1_R1.fastq.gz	NA	NA	ERR13189856.fastq.gz	NA
OLV050	OLV050_utigOLV050	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/OLV050_utigOLV050_L1_R1.fastq.gz	NA	NA	ERR13189859.fastq.gz	NA
OLV056	OLV056_utigOLV056	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/OLV056_utigOLV056_L1_R1.fastq.gz	NA	NA	ERR13189863.fastq.gz	NA
KOS002	KOS002_utigKOS002	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS002_utigKOS002_L1_R1.fastq.gz	NA	NA	ERR13189822.fastq.gz	NA
KOS004A	KOS004A_utigKOS004A	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS004A_utigKOS004A_L1_R1.fastq.gz	NA	NA	ERR13189824.fastq.gz	NA
KOS005	KOS005_utigKOS005	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS005_utigKOS005_L1_R1.fastq.gz	NA	NA	ERR13189825.fastq.gz	NA
KOS008C	KOS008C_utigKOS008C	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS008C_utigKOS008C_L1_R1.fastq.gz	NA	NA	ERR13189828.fastq.gz	NA
KOS009	KOS009_utigKOS009	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS009_utigKOS009_L1_R1.fastq.gz	NA	NA	ERR13189829.fastq.gz	NA
KOS016	KOS016_utigKOS016	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS016_utigKOS016_L1_R1.fastq.gz	NA	NA	ERR13189836.fastq.gz	NA
KOS026	KOS026_utigKOS026	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS026_utigKOS026_L1_R1.fastq.gz	NA	NA	ERR13189841.fastq.gz	NA
KOS028	KOS028_utigKOS028	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS028_utigKOS028_L1_R1.fastq.gz	NA	NA	ERR13189843.fastq.gz	NA
